Designator,Mid X,Mid Y,Rotation,Layer
D1,95.0,-90.0,0.0,top
D10,64.0,-105.0,0.0,top
D11,78.0,-48.0,0.0,top
D12,137.0,-100.0,0.0,top
D13,84.0,-49.0,0.0,top
D14,95.0,-82.0,0.0,top
D15,60.0,-70.0,0.0,top
D16,61.0,-86.0,0.0,top
D17,115.0,-54.0,0.0,top
D18,116.0,-71.0,0.0,top
D19,112.0,-75.0,0.0,top
D2,95.0,-78.0,0.0,top
D20,138.0,-104.0,0.0,top
D21,59.0,-61.0,0.0,top
D22,78.0,-76.0,0.0,top
D23,59.0,-78.0,0.0,top
D24,77.0,-60.0,0.0,top
D25,77.0,-66.0,0.0,top
D26,61.0,-74.0,0.0,top
D27,59.0,-93.0,0.0,top
D28,78.0,-84.0,0.0,top
D29,60.0,-65.0,0.0,top
D3,59.0,-57.0,0.0,top
D30,77.0,-72.0,0.0,top
D31,78.0,-52.0,0.0,top
D32,79.0,-44.0,0.0,top
D33,94.0,-59.0,0.0,top
D34,108.0,-106.0,0.0,top
D35,96.0,-86.0,0.0,top
D36,94.0,-51.0,0.0,top
D37,115.0,-66.0,0.0,top
D38,94.0,-55.0,0.0,top
D39,115.0,-62.0,0.0,top
D4,60.0,-82.0,0.0,top
D40,113.0,-83.0,0.0,top
D41,64.0,-101.0,0.0,top
D42,96.0,-108.0,0.0,top
D43,110.0,-112.0,0.0,top
D44,116.0,-96.0,0.0,top
D45,95.0,-94.0,0.0,top
D46,104.0,-110.0,0.0,top
D47,64.0,-111.0,0.0,top
D48,116.0,-58.0,0.0,top
D49,112.0,-79.0,0.0,top
D5,45.0,-67.0,0.0,top
D50,112.0,-89.0,0.0,top
D51,64.0,-115.0,0.0,top
D52,96.0,-104.0,0.0,top
D53,92.0,-141.0,0.0,top
D54,96.0,-100.0,0.0,top
D55,132.0,-105.0,0.0,top
D56,102.0,-106.0,0.0,top
D57,137.0,-145.0,0.0,top
D58,114.0,-102.0,0.0,top
D59,113.0,-124.0,0.0,top
D6,59.0,-97.0,0.0,top
D60,126.0,-104.0,0.0,top
D61,120.0,-106.0,0.0,top
D62,112.0,-118.0,0.0,top
D63,114.0,-106.0,0.0,top
D64,125.0,-100.0,0.0,top
D65,137.0,-152.0,0.0,top
D66,144.0,-107.0,0.0,top
D67,106.0,-157.0,0.0,top
D68,131.0,-100.0,0.0,top
D7,77.0,-56.0,0.0,top
D8,77.0,-80.0,0.0,top
D9,96.0,-73.0,0.0,top
SW1,52.07,-59.69,0.0,top
